Selection Year,JO Type,Job Network,Entity,Gender,Nationality,Region,Job Family,Level,Posting Year,JO Number,Applicant Number,JO Selection,Candidate Rostered?,Entity Type,SelectionMonth,PostingMonth,Job Code,Job_Family,Recruitment Timeline (Days)
2021,PSJO,POLNET,UN-PKO-1,Female,France,Western Europe and Others,Rule of Law,P-5,2021,455715,6615510,Non-roster,No,Peacekeeping Mission,2021-07-01,2021-03-01,UNS:6227,ROL,112
2020,PSJO,DEVNET,UN-DEPT-3,Female,China,Asia-Pacific,Sustainable Development,P-3,2020,412143,6615744,Non-roster,No,Department,2020-12-01,2020-06-01,UNS:6657,SUS,176
2017,PSJO,ITECNET,UN-DEPT-3,Male,Spain,Western Europe and Others,Information Management Systems and Technology,P-3,2017,217491,6653454,Non-roster,No,Department,2017-10-01,2017-01-01,UNS:4083,IST,287
2017,PSJO,INFONET,UN-OAH-2,Male,Switzerland,Western Europe and Others,Public Information,P-3,2016,198630,6734532,Non-roster,No,OAH,2017-07-01,2016-10-01,UNS:5129,PUB,262
2017,PSJO,POLNET,UN-PKO-1,Female,Belgium,Western Europe and Others,Human Rights Affairs,P-3,2015,140862,6742797,Non-roster,No,Peacekeeping Mission,2017-01-01,2015-08-01,UNS:5461,HRI,515
2019,RfR,POLNET,UN-PKO-1,Female,"Congo, The Democratic Republic",Africa,Rule of Law,P-3,2019,349734,6750729,Roster,Yes,Peacekeeping Mission,2019-08-01,2019-06-01,UNS:4297,ROL,41
2022,PSJO,POLNET,UN-PKO-1,Female,"Congo, The Democratic Republic",Africa,Human Rights Affairs,P-3,2021,454323,6753774,Non-roster,No,Peacekeeping Mission,2022-01-01,2021-03-01,UNS:5461,HRI,312
2021,PSJO,INFONET,UN-OAH-2,Female,France,Western Europe and Others,Language,P-4,2021,457617,6808842,Roster,Yes,OAH,2021-07-01,2021-04-01,UNS:8633,LAN,86
2020,PSJO,INFONET,UN-OAH-2,Female,Benin,Africa,Conference Services,P-5,2020,390126,6944502,Roster,Yes,OAH,2020-03-01,2020-02-01,UNS:7471,CON,26
2021,PSJO,POLNET,UN-PKO-1,Male,Burundi,Africa,Political Affairs,P-3,2019,371961,6947838,Non-roster,No,Peacekeeping Mission,2021-01-01,2019-10-01,UNS:5119,POL,480
